# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/features.saf" "-F" "SAF" "-T" "8" "-o" "data/counts.txt" "bam/wildtype-01.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/wildtype-01.bam
YAL068C	I	1807	2169	-	363	0
YAL067C	I	7235	9016	-	1782	1
YAL064C-A	I	13363	13743	-	381	3
YAL063C	I	24000	27968	-	3969	20
YAL062W	I	31567	32940	+	1374	53
YAL061W	I	33448	34701	+	1254	336
YAL060W	I	35155	36303	+	1149	251
YAL059W	I	36509	37147	+	639	14
YAL058W	I	37464	38972	+	1509	41
YAL056C-A	I	38696	39046	-	351	0
YAL056W	I	39259	41901	+	2643	117
YAL055W	I	42177	42719	+	543	41
YAL054C	I	42881	45022	-	2142	31
YAL053W	I	45899	48250	+	2352	424
YAL051W	I	48564	51707	+	3144	42
YAL049C	I	51855	52595	-	741	60
YAL048C	I	52801	54789	-	1989	30
YAL047C	I	54989	56857	-	1869	15
YAL046C	I	57029	57385	-	357	34
YAL044W-A	I	57518	57850	+	333	33
YAL044C	I	57950	58462	-	513	219
YAL043C	I	58695	61052	-	2358	89
YAL042C-A	I	61231	61608	-	378	0
YAL042W	I	61316	62563	+	1248	391
YAL041W	I	62840	65404	+	2565	61
YAL040C	I	65778	67520	-	1743	55
YAL039C	I	68716	69525	-	810	248
YAL038W	I	71786	73288	+	1503	12934
YAL036C	I	75043	76152	-	1110	51
YAL035W	I	76427	79435	+	3009	434
YAL034C-B	I	79489	79842	-	354	4
YAL034W-A	I	79718	80587	+	870	12
YAL034C	I	80710	81951	-	1242	44
YAL033W	I	82706	83227	+	522	27
YAL032C	I	83335	84474	-	1140	55
YAL031C	I	84749	87031	-	2283	69
YAL030W	I;I	87286;87501	87387;87752	+;+	354	74
YAL029C	I	87855	92270	-	4416	88
YAL028W	I	92900	94486	+	1587	56
YAL027W	I	94687	95472	+	786	21
YAL026C	I	95630	99697	-	4068	101
YAL025C	I	100225	101145	-	921	60
YAL024C	I	101565	105872	-	4308	17
YAL023C	I	106272	108551	-	2280	411
YAL022C	I	108877	110430	-	1554	103
YAL021C	I	110846	113359	-	2514	116
YAL020C	I	113614	114615	-	1002	89
YAL019W	I	114919	118314	+	3396	61
YAL018C	I	118564	119541	-	978	0
YAL017W	I	120225	124295	+	4071	151
YAL016W	I	124879	126786	+	1908	156
YAL015C	I	126903	128102	-	1200	60
YAL014C	I	128252	129019	-	768	116
YAL013W	I	129270	130487	+	1218	116
YAL012W	I	130799	131983	+	1185	691
YAL011W	I	132199	134076	+	1878	38
YAL010C	I	134184	135665	-	1482	32
YAL009W	I	135854	136633	+	780	30
YAL008W	I	136914	137510	+	597	42
YAL007C	I	137698	138345	-	648	92
YAL005C	I	139503	141431	-	1929	810
YAL003W	I;I	142174;142620	142253;143160	+;+	621	987
YAL002W	I	143707	147531	+	3825	44
YAL001C	I;I	147594;151097	151006;151166	-;-	3483	62
YAR002W	I	152257	153876	+	1620	65
YAR002C-A	I	154065	154724	-	660	113
YAR003W	I	155005	156285	+	1281	48
YAR007C	I	156754	158619	-	1866	77
YAR008W	I	158966	159793	+	828	16
YAR014C	I	166742	168871	-	2130	102
YAR015W	I	169375	170295	+	921	410
YAR018C	I	170396	171703	-	1308	28
YAR019C	I	172211	175135	-	2925	29
YAR020C	I	176856	177023	-	168	6
YAR027W	I	183770	184477	+	708	93
YAR031W	I	186836	187732	+	897	8
YAR033W	I	188107	188811	+	705	15
YAR035W	I	190193	192256	+	2064	22
YAR042W	I	192619	196185	+	3567	145
YAR050W	I	203403	208016	+	4614	14
YAR071W	I	225460	226863	+	1404	16
YAR073W	I	227742	228953	+	1212	6
YBL108C-A	II	7605	7733	-	129	1
YBL107C	II	9961	10551	-	591	40
YBL106C	II	10847	13879	-	3033	41
YBL105C	II	14241	17696	-	3456	157
YBL104C	II	18177	21293	-	3117	32
YBL103C	II	22076	23536	-	1461	67
YBL102W	II	24098	24745	+	648	90
YBL101C	II	24946	28299	-	3354	175
YBL100W-C	II	28427	28546	+	120	0
YBL099W	II	37053	38690	+	1638	431
YBL098W	II	39145	40527	+	1383	22
YBL097W	II	40831	43095	+	2265	17
YBL095W	II	43277	44089	+	813	30
YBL093C	II	44256	44918	-	663	103
YBL092W	II	45978	46370	+	393	1715
YBL091C-A	II;II	46565;47147	47058;47180	-;-	528	68
YBL091C	II	47363	48628	-	1266	339
YBL090W	II	48825	49358	+	534	29
YBL089W	II	49574	50953	+	1380	36
YBL088C	II	51019	59382	-	8364	53
YBL087C	II;II	59822;60698	60193;60739	-;-	414	712
YBL085W	II	63876	66818	+	2943	96
YBL084C	II	67169	69445	-	2277	37
YBL082C	II	69751	71127	-	1377	104
YBL080C	II	73070	74695	-	1626	30
YBL079W	II	75259	79767	+	4509	64
YBL078C	II	80378	80731	-	354	36
YBL076C	II	81043	84261	-	3219	592
YBL075C	II	84499	86448	-	1950	35
YBL074C	II	86722	87789	-	1068	12
YBL072C	II	88523	89125	-	603	442
YBL071W-A	II	89978	90226	+	249	9
YBL069W	II	90741	92030	+	1290	36
YBL068W	II	92414	93394	+	981	32
YBL067C	II	93639	95882	-	2244	58
YBL066C	II	96669	100115	-	3447	37
YBL064C	II	100371	101156	-	786	126
YBL063W	II	101886	105221	+	3336	22
YBL061C	II	105316	107406	-	2091	106
YBL060W	II	107932	109995	+	2064	21
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	19
YBL058W	II	111437	112708	+	1272	265
YBL057C	II	112801	113427	-	627	91
YBL056W	II	113762	115168	+	1407	299
YBL055C	II	115573	116829	-	1257	74
YBL054W	II	117589	119166	+	1578	18
YBL052C	II	119379	121874	-	2496	51
YBL051C	II	122753	124759	-	2007	155
YBL050W	II;II	125125;125271	125154;126119	+;+	879	102
YBL049W	II	126828	127244	+	417	7
YBL048W	II	127299	127610	+	312	1
YBL047C	II	127895	132040	-	4146	485
YBL046W	II	132424	133749	+	1326	53
YBL045C	II	134143	135516	-	1374	230
YBL043W	II	136688	137461	+	774	12
YBL042C	II	138341	140260	-	1920	48
YBL041W	II	141247	141972	+	726	322
YBL040C	II;II	142112;142847	142749;142868	-;-	660	72
YBL039W-B	II	143393	143572	+	180	4
YBL039C	II	143989	145728	-	1740	77
YBL038W	II	146187	146885	+	699	61
YBL037W	II	147209	150286	+	3078	65
YBL035C	II	151493	153610	-	2118	20
YBL034C	II	153848	158389	-	4542	22
YBL033C	II	158656	159693	-	1038	156
YBL032W	II	160184	161329	+	1146	135
YBL031W	II	161699	162715	+	1017	11
YBL030C	II	163041	163997	-	957	389
YBL027W	II;II	168423;168809	168424;169376	+;+	570	1417
YBL026W	II;II	170623;170805	170676;171038	+;+	288	31
YBL025W	II	171481	171918	+	438	10
YBL024W	II	172534	174588	+	2055	76
YBL023C	II	174920	177526	-	2607	68
YBL022C	II	177874	181275	-	3402	193
YBL021C	II	181660	182094	-	435	44
YBL020W	II	182401	184125	+	1725	42
YBL019W	II	184353	185915	+	1563	17
YBL018C	II;II	185998;186428	186352;186474	-;-	402	29
YBL017C	II	186844	191583	-	4740	244
YBL016W	II	192451	193512	+	1062	46
YBL015W	II	194122	195702	+	1581	96
YBL014C	II	199064	201748	-	2685	28
YBL013W	II	202056	203261	+	1206	4
YBL011W	II	203538	205817	+	2280	132
YBL009W	II	207194	209224	+	2031	19
YBL008W	II	209653	212175	+	2523	26
YBL007C	II	212632	216366	-	3735	277
YBL006C	II	216587	217129	-	543	135
YBL005W	II	217470	220400	+	2931	56
YBL004W	II	227636	235117	+	7482	85
YBL003C	II	235394	235792	-	399	300
YBL002W	II	236492	236887	+	396	181
YBL001C	II	237153	237467	-	315	84
YBR001C	II	238941	241283	-	2343	76
YBR002C	II	241708	242568	-	861	49
YBR003W	II	242809	244230	+	1422	61
YBR004C	II	244366	245667	-	1302	35
YBR005W	II	245906	246547	+	642	121
YBR006W	II	247010	248503	+	1494	37
YBR007C	II	248806	251016	-	2211	34
YBR008C	II	252563	254209	-	1647	30
YBR009C	II	255373	255684	-	312	354
YBR010W	II	256331	256741	+	411	241
YBR011C	II	257112	257975	-	864	923
YBR014C	II	266725	267336	-	612	32
YBR015C	II	267710	269503	-	1794	215
YBR017C	II	270947	273703	-	2757	100
YBR018C	II	274427	275527	-	1101	11
YBR019C	II	276253	278352	-	2100	4
YBR020W	II	279021	280607	+	1587	8
YBR021W	II	281443	283344	+	1902	14
YBR022W	II	283738	284271	+	534	19
YBR023C	II	284428	287925	-	3498	129
YBR024W	II	289445	290350	+	906	29
YBR025C	II	290681	291865	-	1185	541
YBR026C	II	292877	294019	-	1143	80
YBR028C	II	294425	296002	-	1578	44
YBR029C	II	296369	297742	-	1374	83
YBR030W	II	298292	299950	+	1659	35
YBR031W	II	300166	301254	+	1089	1131
YBR033W	II	301944	304703	+	2760	17
YBR034C	II	304930	305976	-	1047	110
YBR035C	II	306269	306955	-	687	116
YBR036C	II	309081	310313	-	1233	312
YBR037C	II	310565	311452	-	888	66
YBR038W	II	311898	314789	+	2892	64
YBR039W	II	315575	316510	+	936	163
YBR040W	II	316968	317864	+	897	1
YBR041W	II	318266	320275	+	2010	112
YBR042C	II	320416	321609	-	1194	47
YBR043C	II	321876	323945	-	2070	57
YBR044C	II	324341	326059	-	1719	46
YBR045C	II	328173	330092	-	1920	8
YBR046C	II	330507	331511	-	1005	79
YBR047W	II	331833	332360	+	528	13
YBR048W	II;II	332831;333387	332875;333812	+;+	471	986
YBR049C	II	334386	336818	-	2433	53
YBR050C	II	337183	338199	-	1017	35
YBR052C	II	338720	339352	-	633	192
YBR054W	II	343101	344135	+	1035	70
YBR055C	II	344602	347301	-	2700	29
YBR057C	II	352193	353293	-	1101	62
YBR058C	II	353672	356017	-	2346	58
YBR058C-A	II	356324	356566	-	243	51
YBR059C	II	356861	360187	-	3327	175
YBR060C	II	360652	362514	-	1863	34
YBR061C	II	364787	365719	-	933	16
YBR065C	II	368584	369678	-	1095	4
YBR066C	II	370037	370699	-	663	14
YBR067C	II	372103	372735	-	633	443
YBR068C	II	373861	375690	-	1830	509
YBR069C	II	376574	378433	-	1860	196
YBR070C	II	379221	379934	-	714	13
YBR072W	II	382030	382674	+	645	30
YBR073W	II	383112	385988	+	2877	63
YBR076W	II	390227	391291	+	1065	7
YBR077C	II	391805	392293	-	489	31
